records,n.max,n.start,events,rmean,se(rmean),median,0.95LCL,0.95UCL
12268,12268,12268,2082,205.15284335859155,1.7556200068689272,269,251,NA
7010,7010,7010,3701,131.6182711271604,1.6119832464180288,107,99,114
30210,30210,30210,17141,112.66606614536649,0.788730341080882,62,59,65
9702,9702,9702,6316,90.98460411547357,1.2868982372355096,31,29,34
15142,15142,15142,6327,128.5102311423791,1.5265722932814705,103,98,107
24345,24345,24345,4520,222.8740700564372,0.8161210046283167,NA,NA,NA
24560,24560,24560,10088,150.32131176972828,0.8799739837732784,141,137,144
9733,9733,9733,3555,158.79959245221443,1.5412994487933047,161,156,167
9450,9450,9450,7898,42.206734438929466,0.8563721442279566,9,8,9
