records,n.max,n.start,events,rmean,se(rmean),median,0.95LCL,0.95UCL
42287,42287,42287,14016,197.81952668255778,0.5896169811598071,242,238,248
15885,15885,15885,8604,143.56576156076633,0.9906434661678922,130,127,134
20142,20142,20142,17545,49.92623054018788,0.5969527990659389,12,11,12
6418,6418,6418,2842,166.97844963793415,1.6026042955850537,185,174,192
57688,57688,57688,18621,113.18430530380417,1.285418629507082,88,85,90
