coef,exp(coef),se(coef),z,Pr(>|z|)
0.4415137246448648,1.55505936949958,0.015035604769762359,29.364547113713673,1.5582029201060886e-189
1.4548356696822757,4.283779452919828,0.013454279264376996,108.13181747566783,0
0.4010983501179665,1.4934641436519542,0.0392442032410783,10.22057570270971,1.6038549250096411e-24
0.6131954615004168,1.8463218327758721,0.03718438066162208,16.490672981230922,4.281539507307651e-61
0.6274791807346433,1.8728834229998246,0.04084274163550922,15.36329726183476,2.8851966454431233e-53
0.1649866175247868,1.1793773356178214,0.039184056054917274,4.21055485663747,2.5474425579687963e-5
0.06138567819158792,1.0633089301802907,0.03978165921354308,1.543064804363164,0.1228150531943238
0.047479639424332164,1.0486248502983166,0.03782442768176821,1.2552639216063504,0.20938296763356704
0.5613516548916307,1.7530404052794388,0.041123972354178195,13.650229361527071,2.0124416389912045e-42
-1.4275613986995348,0.23989321342982012,1.000484264226216,-1.4268704164014256,0.1536172494810923
-1.8213808451387543,0.1618021728622227,0.40917400399224235,-4.45136012397622,8.532810557924946e-6
-1.3318749517075088,0.263981843794236,0.19030932392929803,-6.9984745056543565,2.587644340587058e-12
-1.2051209252493473,0.29965576137457495,0.14442442884615683,-8.344301132968724,7.163624149009422e-17
-0.8010103170913062,0.4488752286321083,0.08921815080829125,-8.978109385078922,2.754591537934557e-19
-0.7740338396620213,0.4611491098146017,0.07050067350898541,-10.97909851263151,4.81706726017001e-28
-0.41849515307524765,0.6580363190369724,0.050059097269878686,-8.360021972011518,6.270657676882104e-17
-0.23540474491027216,0.7902509348474458,0.038363547132491675,-6.136156912114577,8.454165672425754e-10
-0.07850626008250904,0.9244962724904932,0.030866277566044317,-2.5434314168441543,0.010976960387087425
0.3087090682341735,1.3616661609305756,0.024237752802002722,12.736703388140233,3.696884847448882e-37
0.5306658615816099,1.7000639390854306,0.023312303757019166,22.76333849767337,1.0587061412346434e-114
0.7664466980705872,2.1521055706087004,0.022715085354120198,33.74174853943767,1.4126780509620387e-249
1.0319919638959683,2.8066510176065855,0.022864523028212503,45.13507509527292,0
1.319287749369314,3.740756072319224,0.02334847625125873,56.50423330294158,0
1.5676779572372108,4.795499899540712,0.024738393633219488,63.37024062597516,0
1.8948202588132033,6.651352775142551,0.03012402043303073,62.9006431271554,0
2.1074461481371927,8.227203373545617,0.0459222217953065,45.89164168778491,0
0.27941195648240935,1.322351983149481,0.010186485655088388,27.429671620146692,1.2145290004374305e-165
0.14296712923605606,1.153691878309333,0.0691699101808929,2.066897714080717,0.03874379319379066
-0.06656833591963746,0.9355989786551336,0.02845066390018324,-2.3397814600456024,0.019295026682772935
0.24773942626139514,1.2811260608895532,0.02182218837217439,11.35263897626735,7.195755809542538e-30
-1.5232876398560276,0.21799402172344395,0.17245791506213048,-8.8328079306029,1.0208022093904687e-18
0.006100517744876665,1.0061191638008355,0.017829127228059113,0.3421658091752128,0.732226114294694
-0.7294593311126224,0.48216961373689143,0.056896420607881006,-12.820829910196167,1.253515842260651e-37
-0.019088712105590187,0.9810923236163668,0.0668116579422057,-0.2857093012435428,0.775100780171303
-0.0559978907830032,0.9455411302397161,0.06699413668820833,-0.8358625627734884,0.40323222558595995
0.041097729118894415,1.0419539298092895,0.05716103928963802,0.7189814886088765,0.4721523254724266
-0.4426192616632931,0.6423517284641865,0.2002002653666778,-2.210882492351404,0.02704397536043865
