Estimate,Std. Error,z value,Pr(>|z|)
-1.216183659488699,0.10882799917606649,-11.17528272775746,5.38785278428464e-29
0.5540609244327115,0.024489913738838843,22.624045569993974,2.5134281540704005e-113
2.184281304972925,0.02866202480397065,76.20819952225877,0
-1.7457357686926782,1.0623241151638758,-1.6433174619436914,0.1003172672602521
-1.9078354037270318,0.443759330358167,-4.29925699181847,1.7137166444390702e-5
-1.378106199501414,0.22050154866162655,-6.24987084157039,4.1079225090268357e-10
-1.315530382136038,0.16606328811291185,-7.921861581119398,2.33980704674328e-15
-0.9383635783972125,0.1082790338691953,-8.666161350597081,4.469334582671176e-18
-0.8013524772931043,0.08716652131130972,-9.193351590011543,3.80787954479241e-20
-0.48737101402303223,0.06542697774119911,-7.44908340334566,9.399094134233139e-14
-0.26083196011115495,0.052515702674249966,-4.9667422661955305,6.808698027080379e-7
-0.06000781352513636,0.04341906984858507,-1.382061240243079,0.16695289824810686
0.41760905996069275,0.03534365687336473,11.815672086704938,3.239479097669768e-32
0.7554017086229042,0.03484224865248335,21.68062446707393,3.126094494039637e-104
1.1170295891463429,0.034797267502103796,32.10107199017305,4.259580581595644e-226
1.6092764292896502,0.037201691647954546,43.258151928102784,0
2.2832710701854317,0.04280369512146183,53.34284957656837,0
2.9418702324807096,0.0564002491676442,52.160589286339665,0
3.5628538199277573,0.09729386440364117,36.619511844514825,1.3993271125043714e-293
4.504843947110897,0.25166382236410556,17.90024448008788,1.1740540073138136e-71
0.8471508760207159,0.06253784262281602,13.546212029252914,8.34254359295392e-42
1.0445934954163227,0.05513562470835104,18.94589026499422,4.774471553261814e-80
1.4467805775456133,0.06878611442938888,21.033032459345836,3.2706166457713556e-98
0.4381252302253061,0.05933534175824278,7.383883150288628,1.5373838486775012e-13
0.5048873529461905,0.05663035146063652,8.91549036733659,4.856622305813151e-19
0.5904773759260696,0.05566486984114532,10.607720409859139,2.7436115264762226e-26
1.022490586909681,0.06188221729298465,16.52317308005699,2.4989767022722618e-61
0.3859395672390525,0.01878893476326623,20.54079020986294,9.303654478383134e-94
0.4457156285765115,0.12037884118920691,3.702607735490264,2.1339469390021257e-4
-0.1450628664434237,0.04690204818046496,-3.09288980057471,0.0019821772577234904
0.4976155879147621,0.03695114075785869,13.466853193400539,2.4509082126334116e-41
-1.9923170105865582,0.20062390060434232,-9.93060649596121,3.063862439698398e-23
0.16908837560507628,0.03015285398606134,5.607707173697063,2.0502452387429914e-8
-1.566516582743665,0.10724714640777691,-14.606603860464773,2.5491190247303472e-48
-0.4850529192812703,0.1292771520806467,-3.7520390221675117,1.7540215391686717e-4
-0.41951189382557913,0.11797940380514632,-3.555806185615593,3.768218036933756e-4
-0.6883517942545563,0.10847218914756139,-6.34588275265791,2.2115362204616768e-10
-1.095572572621927,0.36071152856335664,-3.0372541099126438,0.00238744099587269
